model,tok_per_sec,metric,n_runs_for_model,condition,source,box,device,quant,serving_stack,quality_score,verdict
GLM-4.7-Flash-GGUF,105,generation,1,llama-server on both dGPUs (CUDA0/CUDA1); working tool-calls via --jinja,llama-server build record,box-a,both-dgpu,,llama-server,,
Ornith-1.0-35B,115,generation,1,vs 9B head-to-head; ~1.7x faster; fewest calls (6-7); device corrected dgpu-a->both-dgpu 2026-08-22: 21 GB of weights cannot fit one 16 GiB 5060 Ti; measured placement 11839/11323 MiB across both cards,agentic-lane eval record,box-a,both-dgpu,,,,
Ornith-1.0-9B,67,generation,1,vs 35B head-to-head,agentic-lane eval record,box-a,dgpu-a,,,,
Ornith-1.0-35B-A3B-MoE-Q4,199.9,generation,4,llama.cpp pp2048; -ngl 24; -mmp 0; CUDA 13.3; STOCK build,llama.cpp offload eval record,box-a,dgpu-a,q4_K_M,llama.cpp,,
Ornith-1.0-35B-A3B-MoE-Q4,188.7,generation,4,llama.cpp pp2048; -ngl 24; MoE-offload ACCELERATOR build (~6% slower than stock),llama.cpp offload eval record,box-a,dgpu-a,q4_K_M,llama.cpp,,
Ornith-1.0-35B-A3B-MoE-Q4,115.7,generation,4,llama.cpp pp2048; -ngl 8; STOCK build,llama.cpp offload eval record,box-a,dgpu-a,q4_K_M,llama.cpp,,
Ornith-1.0-35B-A3B-MoE-Q4,114.1,generation,4,llama.cpp pp2048; -ngl 8; ACCELERATOR build (tie with stock),llama.cpp offload eval record,box-a,dgpu-a,q4_K_M,llama.cpp,,
LFM2.5-8B-A1B,130,decode,2,lower bound of measured range; holds this rate even at 128k context,LFM eval record,box-a,dgpu-a,,,,
LFM2.5-8B-A1B,230,decode,2,upper bound of measured range; fastest in fleet; 6.0GB VRAM,LFM eval record,box-a,dgpu-a,,,,
LFM2.5-8B-A1B,6700,prefill,n/a,lower bound of measured prefill range,LFM eval record,box-a,dgpu-a,,,,
LFM2.5-8B-A1B,12000,prefill,n/a,upper bound of measured prefill range,LFM eval record,box-a,dgpu-a,,,,
Qwythos-9B,28,decode,2,short context; degrades with depth,long-context eval record,box-a,dgpu-a,,,,
Qwythos-9B,17,decode,2,past 512k context; needle retrieval perfect to 700k; 1M = timeout,long-context eval record,box-a,dgpu-a,,,,
Qwythos-9B,2415,prefill,n/a,short context,long-context eval record,box-a,dgpu-a,,,,
Qwythos-9B,646,prefill,n/a,past 512k context; real ceiling is SPEED not VRAM,long-context eval record,box-a,dgpu-a,,,,
gemma4:26b-a4b-it-qat,83.3,generation,1,2026-08-22 cross-box comparison; one recorded run,2026-08-22 operating log,box-a,dgpu-a,q4_0-qat,,,
qwen3-coder:30b,35.6,generation,1,2026-08-22 cross-box comparison; one recorded run,2026-08-22 operating log,box-a,dgpu-a,,,,
qwen3.8:27b,21.2,generation,1,2026-08-22 cross-box comparison; one recorded run,2026-08-22 operating log,box-a,dgpu-a,,,,
gemma4:31b-it-qat,18.2,generation,1,2026-08-22 cross-box comparison; one recorded run,2026-08-22 operating log,box-a,dgpu-a,q4_0-qat,,,
Ornith-1.0-9B,52,generation,1,2026-08-22 cross-box comparison; one recorded run; hf.co GGUF,2026-08-22 operating log,box-a,dgpu-a,q4_K_M,,,
gemma4:26b-a4b-it-qat,105.2,generation,2,2026-08-22 Vulkan stack; dgpu-b reps 100.8/109.6; cell mean 105.2; functional task run,2026-08-22 operating log,box-b,dgpu-b,q4_0-qat,llama.cpp,T1 8/8,kept
gemma4:26b-a4b-it-qat,66.25,generation,2,2026-08-22 Vulkan stack; igpu reps 66.2/66.3; cell mean 66.25; functional task run,2026-08-22 operating log,box-b,igpu,q4_0-qat,llama.cpp,T1 8/8,kept
gemma4:31b-it-qat,28.25,generation,2,2026-08-22 Vulkan stack; dgpu-b reps 28.2/28.3; cell mean 28.25; functional task run,2026-08-22 operating log,box-b,dgpu-b,q4_0-qat,llama.cpp,T1 8/8,kept
gemma4:31b-it-qat,12,generation,2,2026-08-22 Vulkan stack; igpu reps 12.0/12.0; cell mean 12.0; functional task run,2026-08-22 operating log,box-b,igpu,q4_0-qat,llama.cpp,T1 8/8,kept
gemma4:26b-a4b-it-bf16,13,generation,1,2026-08-22 Vulkan stack; precision trial on igpu,2026-08-22 operating log,box-b,igpu,bf16,llama.cpp,T1 8/8,dumped
gemma4:31b-it-bf16,3.6,generation,1,2026-08-22 Vulkan stack; precision trial on igpu,2026-08-22 operating log,box-b,igpu,bf16,llama.cpp,,dumped
gemma4:31b-it-q8_0,6.6,generation,1,2026-08-22 Vulkan stack; precision trial on igpu,2026-08-22 operating log,box-b,igpu,q8_0,llama.cpp,T1 6/8,dumped
qwen3-coder:30b,111.7,generation,1,2026-08-22 Vulkan stack; coding lane,2026-08-22 operating log,box-b,dgpu-b,,llama.cpp,T1 6/8,kept
qwen3.8:27b,46,generation,1,2026-08-22 Vulkan stack; coding lane,2026-08-22 operating log,box-b,dgpu-b,,llama.cpp,T1 8/8; 3/3 production-shape,kept
qwen3.8:27b-devicepinned,56.4,generation,1,2026-08-22 Vulkan stack; coding lane; device-pinned local build published under this generalized tag,2026-08-22 operating log,box-b,dgpu-b,,llama.cpp,,kept
muse-glimmer,13.2,generation,3,"2026-08-22 llama-server sidecar; speculative decoding baseline; no drafter; reps 13.2/13.2/13.2; device CORRECTED dgpu-b->igpu 2026-08-22: the glimmer-dflash unit sets GGML_VK_VISIBLE_DEVICES=1 (Vulkan1 = Radeon 8060S iGPU), and target+dflash draft at -ngl 999 -ngld 999 is ~36GB, over the R9700's 32624 MiB",2026-08-22 operating log,box-b,igpu,,llama-server,,
muse-glimmer,33.8,generation,3,"2026-08-22 llama-server sidecar; speculative decoding draft-n-max=6; reps 33.8/34.5/32.9; 2.56x; 48.8% acceptance; device CORRECTED dgpu-b->igpu 2026-08-22: the glimmer-dflash unit sets GGML_VK_VISIBLE_DEVICES=1 (Vulkan1 = Radeon 8060S iGPU), and target+dflash draft at -ngl 999 -ngld 999 is ~36GB, over the R9700's 32624 MiB",2026-08-22 operating log,box-b,igpu,,llama-server,,
qwen3-coder:30b,135.5,decode,2,"2026-08-22 controlled device split via jb-device-split-bench: ollama options.main_gpu, num_ctx=32768, num_predict=200, temp 0, warm-up discarded, model unloaded between devices; reps 134.1/136.9",2026-08-22 jb-device-split-bench (javabox:~/fleet/bin),box-b,dgpu-b,,ollama-vulkan,T1 6/8,
qwen3-coder:30b,83.0,decode,2,"2026-08-22 controlled device split via jb-device-split-bench: ollama options.main_gpu, num_ctx=32768, num_predict=200, temp 0, warm-up discarded, model unloaded between devices; reps 83.2/82.8",2026-08-22 jb-device-split-bench (javabox:~/fleet/bin),box-b,igpu,,ollama-vulkan,T1 6/8,
gemma4:26b-a4b-it-qat,109.05,decode,2,"2026-08-22 controlled device split via jb-device-split-bench: ollama options.main_gpu, num_ctx=32768, num_predict=200, temp 0, warm-up discarded, model unloaded between devices; reps 108.6/109.5",2026-08-22 jb-device-split-bench (javabox:~/fleet/bin),box-b,dgpu-b,q4_0-qat,ollama-vulkan,T1 8/8,
gemma4:26b-a4b-it-qat,67.1,decode,2,"2026-08-22 controlled device split via jb-device-split-bench: ollama options.main_gpu, num_ctx=32768, num_predict=200, temp 0, warm-up discarded, model unloaded between devices; reps 67.0/67.2",2026-08-22 jb-device-split-bench (javabox:~/fleet/bin),box-b,igpu,q4_0-qat,ollama-vulkan,T1 8/8,
qwen3.8:27b,54.35,decode,2,"2026-08-22 controlled device split via jb-device-split-bench: ollama options.main_gpu, num_ctx=32768, num_predict=200, temp 0, warm-up discarded, model unloaded between devices; reps 54.2/54.5",2026-08-22 jb-device-split-bench (javabox:~/fleet/bin),box-b,dgpu-b,,ollama-vulkan,T1 8/8,
qwen3.8:27b,23.6,decode,2,"2026-08-22 controlled device split via jb-device-split-bench: ollama options.main_gpu, num_ctx=32768, num_predict=200, temp 0, warm-up discarded, model unloaded between devices; reps 23.7/23.5",2026-08-22 jb-device-split-bench (javabox:~/fleet/bin),box-b,igpu,,ollama-vulkan,T1 8/8,
gemma4:31b-it-qat,28.35,decode,2,"2026-08-22 controlled device split via jb-device-split-bench: ollama options.main_gpu, num_ctx=32768, num_predict=200, temp 0, warm-up discarded, model unloaded between devices; reps 28.3/28.4",2026-08-22 jb-device-split-bench (javabox:~/fleet/bin),box-b,dgpu-b,q4_0-qat,ollama-vulkan,T1 8/8,
gemma4:31b-it-qat,12.0,decode,2,"2026-08-22 controlled device split via jb-device-split-bench: ollama options.main_gpu, num_ctx=32768, num_predict=200, temp 0, warm-up discarded, model unloaded between devices; reps 12.0/12.0",2026-08-22 jb-device-split-bench (javabox:~/fleet/bin),box-b,igpu,q4_0-qat,ollama-vulkan,T1 8/8,
